trx_id;timestamp;ip_address;trx_type;response_time
0;20/09/2017 13:00;10.17.10.4;download_file;20
1;20/09/2017 13:01;10.17.7.6;buy_gold;42
2;20/09/2017 13:01;10.17.6.1;delete_account;33
3;20/09/2017 13:01;10.17.1.7;sell_stocks;28
4;20/09/2017 13:02;10.17.3.6;create_account;3
5;20/09/2017 13:02;10.17.2.6;create_account;12
6;20/09/2017 13:03;10.17.6.9;delete_account;26
7;20/09/2017 13:03;10.17.2.1;sell_stocks;14
8;20/09/2017 13:03;10.17.6.2;buy_gold;17
9;20/09/2017 13:04;10.17.8.1;sell_stocks;29
10;20/09/2017 13:05;10.17.3.9;delete_account;2
11;20/09/2017 13:05;10.17.8.1;buy_gold;43
12;20/09/2017 13:06;10.17.1.9;download_file;35
13;20/09/2017 13:07;10.17.3.10;sell_stocks;39
14;20/09/2017 13:07;10.17.7.9;create_account;17
15;20/09/2017 13:08;10.17.4.7;buy_gold;22
16;20/09/2017 13:08;10.17.8.8;create_account;27
17;20/09/2017 13:09;10.17.7.8;buy_gold;33
18;20/09/2017 13:10;10.17.1.10;buy_gold;47
19;20/09/2017 13:10;10.17.7.1;download_file;6
20;20/09/2017 13:11;10.17.10.6;delete_account;30
21;20/09/2017 13:12;10.17.10.2;download_file;25
22;20/09/2017 13:12;10.17.2.1;sell_stocks;19
23;20/09/2017 13:13;10.17.7.3;buy_gold;21
24;20/09/2017 13:13;10.17.4.1;sell_stocks;12
25;20/09/2017 13:14;10.17.5.7;buy_gold;22
26;20/09/2017 13:14;10.17.4.7;buy_gold;34
27;20/09/2017 13:15;10.17.7.2;sell_stocks;28
28;20/09/2017 13:15;10.17.6.9;buy_gold;41
29;20/09/2017 13:16;10.17.4.7;buy_gold;22
30;20/09/2017 13:17;10.17.4.4;create_account;48
31;20/09/2017 13:17;10.17.5.10;download_file;8
32;20/09/2017 13:18;10.17.6.7;delete_account;34
33;20/09/2017 13:19;10.17.9.3;download_file;24
34;20/09/2017 13:19;10.17.4.10;delete_account;37
35;20/09/2017 13:19;10.17.4.1;sell_stocks;22
36;20/09/2017 13:19;10.17.7.5;sell_stocks;11
37;20/09/2017 13:20;10.17.8.7;sell_stocks;1
38;20/09/2017 13:20;10.17.6.10;buy_gold;29
39;20/09/2017 13:21;10.17.10.5;download_file;38
40;20/09/2017 13:22;10.17.5.3;buy_gold;37
