timestamp;ip_address;trx_type;response_time
20/09/2017 13:00;10.17.1.6;delete_account;36
20/09/2017 13:00;10.17.9.4;delete_account;19
20/09/2017 13:01;10.17.9.4;delete_account;42
20/09/2017 13:01;10.17.10.1;delete_account;44
20/09/2017 13:02;10.17.4.10;sell_stocks;24
20/09/2017 13:02;10.17.5.4;download_file;20
20/09/2017 13:02;10.17.9.1;create_account;9
20/09/2017 13:02;10.17.6.2;delete_account;37
20/09/2017 13:02;10.17.3.3;delete_account;3
20/09/2017 13:02;10.17.8.9;download_file;10
20/09/2017 13:03;10.17.2.5;delete_account;9
20/09/2017 13:03;10.17.6.10;buy_gold;2
20/09/2017 13:04;10.17.4.6;create_account;21
20/09/2017 13:04;10.17.2.5;download_file;19
20/09/2017 13:05;10.17.10.8;buy_gold;7
20/09/2017 13:05;10.17.5.8;sell_stocks;2
20/09/2017 13:06;10.17.4.7;sell_stocks;15
20/09/2017 13:06;10.17.9.9;download_file;30
20/09/2017 13:07;10.17.3.7;sell_stocks;14
20/09/2017 13:07;10.17.2.2;create_account;20
20/09/2017 13:07;10.17.10.10;delete_account;14
20/09/2017 13:08;10.17.4.3;sell_stocks;18
20/09/2017 13:08;10.17.10.1;delete_account;15
20/09/2017 13:08;10.17.4.9;sell_stocks;19
20/09/2017 13:09;10.17.8.5;create_account;42
20/09/2017 13:09;10.17.10.3;delete_account;21
20/09/2017 13:10;10.17.6.7;buy_gold;8
20/09/2017 13:10;10.17.2.6;sell_stocks;22
20/09/2017 13:10;10.17.2.9;create_account;9
20/09/2017 13:11;10.17.8.1;sell_stocks;24
20/09/2017 13:11;10.17.3.8;download_file;17
20/09/2017 13:11;10.17.6.3;delete_account;11
20/09/2017 13:12;10.17.2.8;buy_gold;3
20/09/2017 13:12;10.17.7.9;download_file;5
20/09/2017 13:12;10.17.2.8;buy_gold;29
20/09/2017 13:13;10.17.9.6;delete_account;15
20/09/2017 13:13;10.17.10.3;buy_gold;26
20/09/2017 13:13;10.17.2.9;create_account;43
20/09/2017 13:14;10.17.8.6;delete_account;38
20/09/2017 13:14;10.17.2.7;buy_gold;3
20/09/2017 13:14;10.17.4.3;create_account;35
20/09/2017 13:15;10.17.3.5;sell_stocks;19
20/09/2017 13:15;10.17.8.2;create_account;33
20/09/2017 13:15;10.17.3.8;delete_account;13
20/09/2017 13:16;10.17.3.1;delete_account;23
20/09/2017 13:17;10.17.4.8;delete_account;45
20/09/2017 13:17;10.17.6.6;download_file;45
20/09/2017 13:17;10.17.1.9;buy_gold;29
20/09/2017 13:17;10.17.6.2;download_file;40
20/09/2017 13:18;10.17.7.4;create_account;37
20/09/2017 13:19;10.17.2.2;delete_account;3
20/09/2017 13:19;10.17.10.3;delete_account;26
20/09/2017 13:19;10.17.9.3;download_file;17
20/09/2017 13:20;10.17.2.3;sell_stocks;23
20/09/2017 13:20;10.17.7.8;create_account;48
20/09/2017 13:20;10.17.8.2;download_file;26
20/09/2017 13:21;10.17.5.5;delete_account;18
20/09/2017 13:21;10.17.9.4;sell_stocks;5
20/09/2017 13:22;10.17.9.5;delete_account;16
20/09/2017 13:22;10.17.7.1;create_account;37
20/09/2017 13:23;10.17.1.5;sell_stocks;14
20/09/2017 13:23;10.17.9.3;create_account;37
20/09/2017 13:24;10.17.1.3;buy_gold;43
20/09/2017 13:25;10.17.7.5;buy_gold;10
20/09/2017 13:26;10.17.5.6;download_file;30
20/09/2017 13:26;10.17.6.1;create_account;11
20/09/2017 13:27;10.17.8.4;delete_account;23
20/09/2017 13:28;10.17.3.10;download_file;24
20/09/2017 13:28;10.17.5.7;create_account;35
20/09/2017 13:29;10.17.7.4;create_account;24
20/09/2017 13:30;10.17.6.5;buy_gold;24
20/09/2017 13:30;10.17.7.7;sell_stocks;31
20/09/2017 13:30;10.17.3.8;create_account;5
20/09/2017 13:31;10.17.3.6;download_file;12
20/09/2017 13:32;10.17.4.2;create_account;31
20/09/2017 13:32;10.17.9.7;sell_stocks;6
20/09/2017 13:32;10.17.8.1;buy_gold;34
20/09/2017 13:33;10.17.10.1;download_file;49
20/09/2017 13:33;10.17.10.1;create_account;9
20/09/2017 13:33;10.17.1.4;delete_account;1
20/09/2017 13:34;10.17.5.10;sell_stocks;39
20/09/2017 13:34;10.17.10.10;buy_gold;5
20/09/2017 13:35;10.17.3.6;sell_stocks;24
20/09/2017 13:35;10.17.2.9;delete_account;36
20/09/2017 13:36;10.17.2.10;buy_gold;11
20/09/2017 13:36;10.17.7.10;sell_stocks;20
20/09/2017 13:36;10.17.1.6;buy_gold;49
20/09/2017 13:37;10.17.3.6;buy_gold;31
20/09/2017 13:38;10.17.8.5;download_file;34
20/09/2017 13:38;10.17.1.1;buy_gold;38
20/09/2017 13:39;10.17.4.7;sell_stocks;20
20/09/2017 13:40;10.17.7.10;buy_gold;34
20/09/2017 13:41;10.17.10.7;delete_account;37
20/09/2017 13:42;10.17.9.7;sell_stocks;44
20/09/2017 13:42;10.17.3.2;buy_gold;48
20/09/2017 13:43;10.17.6.6;download_file;9
20/09/2017 13:43;10.17.5.7;create_account;8
20/09/2017 13:43;10.17.7.8;buy_gold;21
20/09/2017 13:44;10.17.4.6;delete_account;40
20/09/2017 13:44;10.17.2.9;create_account;1
20/09/2017 13:44;10.17.10.10;create_account;29
20/09/2017 13:45;10.17.5.1;sell_stocks;39
20/09/2017 13:45;10.17.6.6;sell_stocks;49
20/09/2017 13:46;10.17.5.10;buy_gold;0
20/09/2017 13:46;10.17.3.5;buy_gold;3
20/09/2017 13:47;10.17.7.3;delete_account;49
20/09/2017 13:47;10.17.8.6;create_account;49
20/09/2017 13:48;10.17.4.7;create_account;3
20/09/2017 13:48;10.17.9.3;create_account;18
20/09/2017 13:49;10.17.3.4;create_account;41
20/09/2017 13:49;10.17.6.8;sell_stocks;5
20/09/2017 13:50;10.17.4.2;download_file;37
20/09/2017 13:50;10.17.8.5;buy_gold;35
20/09/2017 13:51;10.17.9.8;buy_gold;31
20/09/2017 13:52;10.17.3.10;create_account;23
20/09/2017 13:52;10.17.1.4;delete_account;0
20/09/2017 13:52;10.17.9.7;buy_gold;38
20/09/2017 13:53;10.17.8.3;buy_gold;39
20/09/2017 13:53;10.17.5.7;download_file;21
20/09/2017 13:54;10.17.6.6;delete_account;38
20/09/2017 13:54;10.17.9.7;buy_gold;44
20/09/2017 13:54;10.17.2.6;delete_account;17
20/09/2017 13:55;10.17.4.7;delete_account;12
20/09/2017 13:55;10.17.5.9;download_file;14
20/09/2017 13:56;10.17.5.2;delete_account;28
20/09/2017 13:57;10.17.5.10;buy_gold;24
20/09/2017 13:57;10.17.2.4;create_account;25
20/09/2017 13:58;10.17.4.3;create_account;10
20/09/2017 13:58;10.17.3.2;sell_stocks;44
20/09/2017 13:59;10.17.9.7;buy_gold;9
20/09/2017 13:59;10.17.4.7;download_file;15
20/09/2017 14:00;10.17.9.6;create_account;43
20/09/2017 14:00;10.17.7.2;buy_gold;25
20/09/2017 14:01;10.17.6.5;delete_account;38
20/09/2017 14:01;10.17.8.2;sell_stocks;33
20/09/2017 14:01;10.17.6.9;create_account;35
20/09/2017 14:02;10.17.2.5;download_file;12
20/09/2017 14:03;10.17.7.7;buy_gold;37
20/09/2017 14:04;10.17.1.3;create_account;35
20/09/2017 14:04;10.17.7.3;sell_stocks;14
20/09/2017 14:05;10.17.6.2;buy_gold;22
20/09/2017 14:05;10.17.9.10;create_account;37
20/09/2017 14:05;10.17.9.10;delete_account;13
20/09/2017 14:05;10.17.10.6;create_account;43
20/09/2017 14:05;10.17.10.7;buy_gold;12
20/09/2017 14:06;10.17.7.6;create_account;45
20/09/2017 14:06;10.17.9.6;buy_gold;38
20/09/2017 14:07;10.17.8.5;buy_gold;28
20/09/2017 14:07;10.17.5.7;delete_account;25
20/09/2017 14:07;10.17.7.4;create_account;3
20/09/2017 14:08;10.17.3.4;buy_gold;41
20/09/2017 14:08;10.17.4.3;download_file;36
20/09/2017 14:08;10.17.10.6;delete_account;9
20/09/2017 14:09;10.17.8.8;download_file;49
20/09/2017 14:09;10.17.2.10;sell_stocks;2
20/09/2017 14:10;10.17.9.2;download_file;20
20/09/2017 14:10;10.17.10.1;create_account;46
20/09/2017 14:11;10.17.10.1;buy_gold;28
20/09/2017 14:11;10.17.8.1;download_file;35
20/09/2017 14:12;10.17.9.3;sell_stocks;49
20/09/2017 14:13;10.17.5.8;download_file;46
20/09/2017 14:13;10.17.8.4;buy_gold;33
